delta,snum,s_topic,description,document_url,s_creator_user_id,s_code_language,env_kind,s_content_type,code_url,code_identifier,product_url,product_image_url,is_runnable,is_deployable,is_docker,s_updated_yyyy,s_updated_mm,updated_day,yyyy_mm_dd
-,Sa-We4,Web Apps,Course 2,http://ibm.biz/ibmskillsacademy,10059,js,nodejs:66,PDF,http://ibm.biz/ibmskillsacademy,Module 2 ,,,,,,2017,6,27,2017_06_87
-,Dw-We19,Web Apps,Hands on - Introduction to CLI,"https://www.ibm.com/developerworks/community/forums/atom/download/IBM%20Security%20Directory%20Suite80_Part3_Introduction%20to%20CLI,%20Ad.pdf?nodeId=f51a3e5e-7d9f-4786-9f36-df94c514139c",10060,js,nodejs:67,PDF,"https://www.ibm.com/developerworks/community/forums/atom/download/IBM%20Security%20Directory%20Suite80_Part3_Introduction%20to%20CLI,%20Ad.pdf?nodeId=f51a3e5e-7d9f-4786-9f36-df94c514139c","IBM Security Directory Suite80 Part 3 Introduction to CLI, Overview, Administrative tasks",,,,,,2017,6,27,2017_06_88
-,Rb-Mo1,Mobile,"Good resource to learn about mobile security, however it is quite technical.",http://www.redbooks.ibm.com/abstracts/redp4957.html?Open,10062,js,nodejs:69,PDF,http://www.redbooks.ibm.com/abstracts/redp4957.html?Open,Securely Adopting Mobile Technology  Innovations for Your Enterprise Using IBM Security Solutions,,,,,,2017,6,27,2017_06_90
-,Rb-Mo2,Mobile,"Mainly focuses on IBM worklight, however, some sections provide general information about mobile computing.",http://www.redbooks.ibm.com/abstracts/sg248117.html?Open,10063,js,nodejs:70,PDF,http://www.redbooks.ibm.com/abstracts/sg248117.html?Open,Extending Your Business to Mobile Devices with IBM Worklight,,,,,,2017,6,27,2017_06_91
-,Rb-Mo3,Mobile,Only section 1.3 & 1.4 are relevant,http://www.redbooks.ibm.com/abstracts/sg248179.html?Open,10064,js,nodejs:71,PDF,http://www.redbooks.ibm.com/abstracts/sg248179.html?Open,Securing Your Mobile Business with IBM Worklight,,,,,,2017,6,27,2017_06_92
-,Sa-Mo5,Mobile,Course I - Mobile Overview ,http://ibm.biz/ibmskillsacademy,10065,js,nodejs:72,PDF,http://ibm.biz/ibmskillsacademy,Module I - Mobile Overview,,,,,,2017,6,27,2017_06_93
-,Sa-Mo4,Mobile,Course II - Mobile Applications Overview ,http://ibm.biz/ibmskillsacademy,10066,js,nodejs:73,PDF,http://ibm.biz/ibmskillsacademy,Module I - Mobile Overview,,,,,,2017,6,27,2017_06_94
-,Dw-Mo1,Mobile,First 3 paragraphs explains mobile computing and its limitations,https://www.ibm.com/developerworks/community/blogs/96960515-2ea1-4391-8170-b0515d08e4da/entry/mobile_computing_with_security?lang=en_vn,10067,js,nodejs:74,HTML,https://www.ibm.com/developerworks/community/blogs/96960515-2ea1-4391-8170-b0515d08e4da/entry/mobile_computing_with_security?lang=en_vn,Mobile Computing with Security,,,,,,2017,6,27,2017_06_95
-,Rb-Mo4,Mobile,Only Unit 5. is Relevant,http://www.redbooks.ibm.com/abstracts/sg248374.html?Open,10068,js,nodejs:75,PDF,http://www.redbooks.ibm.com/abstracts/sg248374.html?Open,Essentials of Cloud Application Development on IBM Bluemix,,,,,,2017,6,27,2017_06_96
-,Rb-Mo5,Mobile,Mostly theoretical,http://www.redbooks.ibm.com/abstracts/redp5136.html?Open,10069,js,nodejs:76,PDF,http://www.redbooks.ibm.com/abstracts/redp5136.html?Open,Extending SAP Solutions to the Mobile Enterprise with IBM MobileFirst Platform Foundation,,,,,,2017,6,27,2017_06_97
-,Rb-Mo6,Mobile,Provides good information regarding how to develop secure mobile applications.,http://www.redbooks.ibm.com/abstracts/redp5176.html?Open,10070,js,nodejs:77,PDF,http://www.redbooks.ibm.com/abstracts/redp5176.html?Open,Securing Your Mobile Mainframe,,,,,,2017,6,27,2017_06_98
-,Rb-Mo7,Mobile,Chapter 2 and Chapter 4 are Relevant,http://www.redbooks.ibm.com/abstracts/redp5255.html?Open,10071,js,nodejs:78,PDF,http://www.redbooks.ibm.com/abstracts/redp5255.html?Open,IBM Enterprise Content Management Mobile Application Implementation,,,,,,2017,6,27,2017_06_99
-,Rb-Mo8,Mobile,Only section 7.3 is relevant.,http://www.redbooks.ibm.com/abstracts/sg246315.html?Open,10072,js,nodejs:79,PDF,http://www.redbooks.ibm.com/abstracts/sg246315.html?Open,Patterns: Pervasive and Rich Device Access Solutions,,,,,,2017,6,27,2017_06_100
-,Rb-Mo9,Mobile,Section 5.3 has usefull information for JSON and XML,http://www.redbooks.ibm.com/abstracts/sg248225.html?Open,10073,js,nodejs:80,PDF,http://www.redbooks.ibm.com/abstracts/sg248225.html?Open,A Software Architect's Guide to New Java Workloads in IBM CICS Transaction Server,,,,,,2017,6,27,2017_06_101
-,Rb-Mo10,Mobile,"Chapters 5, 6, 9, 10, 12, 13, 15 and 16 are relavant to mobile app development. ",http://www.redbooks.ibm.com/abstracts/sg248185.html?Open,10074,js,nodejs:81,PDF,http://www.redbooks.ibm.com/abstracts/sg248185.html?Open,Modernizing IBM i Applications from the Database up to the User Interface and Everything in Between,,,,,,2017,6,27,2017_06_102
-,Dw-Mo2,Mobile,Android Development,https://www.ibm.com/developerworks/library/os-android-devel/index.html,10075,js,nodejs:82,PDF,https://www.ibm.com/developerworks/library/os-android-devel/index.html,Introduction to Android development,,,,,,2017,6,27,2017_06_103
-,Rb-Mo11,Mobile,Only Chapter 5 is relevant,http://www.redbooks.ibm.com/abstracts/sg247836.html?Open,10076,js,nodejs:83,PDF,http://www.redbooks.ibm.com/abstracts/sg247836.html?Open,System z on the Go:  Accessing z/OS from Smartphones,,,,,,2017,6,27,2017_06_104
